0,Zulu MMK NJ3,1947
1,Thai EUR MS3,1908
2,Portuguese USD NV4,1921
3,Korean XOF OH10,1919
4,Romanian INR ND8,1992
5,English MAD FL4,1963
6,Zulu JMD VT3,1928
7,English NAD GA6,1919
8,Hindi RON TX8,2004
9,French NAD HI2,1975
10,French XCD OH2,1931
11,Arabic AWG CA10,2020
12,Kazakh BGN NV8,1998
13,Kazakh DJF WI9,1981
14,Marathi LBP SD7,1995
15,Thai INR WI10,1977
16,Swedish SCR DE2,1962
17,French CRC VA9,1993
18,Russian BAM KY6,1954
19,Marathi BTN NY3,1920
20,Arabic PHP AZ10,1986
21,Nepali NZD ID2,1959
22,Dutch SRD RI4,2011
23,Romanian EUR UT3,1998
24,German THB RI4,1989
25,Portuguese BIF GA8,1901
26,Javanese BTN WV8,1929
27,Russian THB OR6,1980
28,Dutch MVR NV6,1993
29,Telugu CUP SD6,1925
30,Japanese UYW CO6,1933
31,Telugu SSP IA6,1983
32,English XPF LA7,2009
33,Swedish USD CT5,1937
34,Hindi EUR NJ8,1986
35,Korean SAR CO3,1975
36,Japanese USD MA2,1987
37,Russian GBP OK8,2013
38,English XOF NC2,1942
39,Japanese MMK NJ9,2016
40,Arabic UGX OR5,1967
41,Nepali XCD SC7,2011
42,Hindi GHS NM4,1903
43,Marathi DOP MN6,1971
44,Hakka EUR IN10,1980
45,Telugu USD IL2,1981
46,German AUD CT8,1988
47,Telugu EUR NC9,1988
48,Dutch ZAR OR3,1929
49,Kazakh EUR MO10,1992
50,Russian ETB MT5,1978
51,Hakka CHF GA5,1953
52,Thai EUR AL5,1939
53,Italian BBD AR8,1960
54,Hakka XPF MN9,2012
55,Swedish CHF KS1,1999
56,Javanese AFN RI10,1912
57,French CRC FL6,1932
58,Tagalog CLF MS4,2021
59,Portuguese IQD TN5,1914
60,Tagalog SBD WI7,1975
61,Russian XPF NV7,1928
62,Zulu NPR UT1,1912
63,Kazakh AUD CT9,1985
64,Dutch GMD CO9,1948
65,Russian MOP NJ9,1999
66,Romanian MUR IA1,1959
67,Tagalog DJF MT6,1992
68,English MAD NM5,1967
69,Italian BND NM4,1931
70,Thai GBP ND7,1949
71,Hakka BAM RI8,1975
72,Arabic ZMW TN9,1936
73,Swedish USD NC6,2012
74,Italian AOA ID10,1978
75,Javanese USD ID3,2004
76,Kazakh MZN NC2,2019
77,Marathi DOP SD2,1983
78,Javanese HTG WV9,1980
79,Kazakh XCD MI3,1956
80,French TMT NJ3,1947
81,French JPY WY1,1916
82,Marathi ARS ID8,1912
83,Japanese USD ME2,1990
84,Nepali USN SC1,1934
85,Swedish THB MD9,1996
86,Telugu XCD NC4,1910
87,Russian KES VA4,1973
88,Japanese AUD OH4,2013
89,Dutch GMD TN5,1992
90,Telugu ANG WV4,1922
91,Thai CHW WI2,1972
92,Dutch KHR MT10,1980
93,Hakka KZT WA5,2010
94,Hindi XOF NH4,1933
95,German XOF NY1,1910
96,Hindi GBP OR10,1905
97,Arabic CHW WY6,1923
98,French MKD MD4,1952
99,Hakka PEN IN5,1982
100,Thai MAD MI1,1975
101,Tagalog TND GA10,1947
102,Kazakh BSD KS6,2020
103,Italian USD DE1,1927
104,Swedish PHP NM4,2019
105,Nepali BYN WI7,1944
106,Arabic NPR OH6,1924
107,English LRD TX9,1974
108,French NPR OK2,2006
109,Korean KGS WY3,2008
110,English LKR NJ7,1955
111,Romanian EUR VA6,1985
112,Dutch XPF SD4,1901
113,Korean NZD MO6,1997
114,Javanese GYD IN7,1941
115,German XAF MT10,1961
116,Russian JPY KS4,1964
117,Swedish EUR SD9,1902
118,Russian XCD HI9,1953
119,English IQD PA8,1929
120,Portuguese YER NC2,1941
121,Javanese SOS WV10,2010
122,Tagalog EUR CT4,1967
123,Javanese USN WI7,2021
124,Romanian SDG OR1,2016
125,Dutch XCD IN8,1904
126,Telugu EUR MS4,1955
127,Telugu TWD MD8,1991
128,Korean NIO NM2,2020
129,Tagalog YER KS2,1962
130,Marathi ZWL AK1,1950
131,Nepali CNY NE2,1941
132,Portuguese JOD LA6,2020
133,German USD MA10,2021
134,Russian XSU NM9,2000
135,Javanese EUR SD6,1972
136,Nepali USD FL6,1982
137,Swedish USD AR5,1929
138,Russian XOF TX10,2019
139,Hakka KES MI10,2015
140,Romanian BOV DE4,2003
141,Russian XPF IA6,1937
142,Javanese GBP MS6,2001
143,Dutch GBP CO4,1904
144,Thai BOV MD2,2020
145,Romanian USD NH1,1983
146,Italian MVR VA6,1998
147,Hindi AZN RI4,1961
148,Romanian NOK ND2,1929
149,German XAF MN1,1948
150,Japanese CDF ND8,1982
151,Italian USD NV10,1904
152,Dutch AOA LA4,1958
153,Hakka XCD RI9,1938
154,Korean USD NH10,1951
155,German BMD OR2,2013
156,English EGP WI8,1982
157,Marathi LAK IN4,1991
158,German EUR HI5,1952
159,Romanian MWK OH3,1963
160,German EUR WA7,2006
161,Hindi USD UT7,1951
162,Tagalog BSD DE4,1954
163,Russian EUR NV2,1932
164,German AUD VA7,1955
165,Japanese GNF IL9,2017
166,Korean KGS VA1,1975
167,Marathi CHW WY2,1924
168,Romanian USD OR5,1973
169,Telugu CHF MS4,1964
170,Tagalog XPF MT2,1940
171,Italian RON GA4,1940
172,Arabic KZT PA4,1939
173,Zulu AUD TN3,2018
174,Javanese STN CO3,1910
175,Tagalog ILS GA3,1976
176,Hakka XAF DE2,2015
177,Hakka YER HI8,2006
178,Nepali KWD MA7,1961
179,Italian MRU VT4,1943
180,Romanian ERN CO10,1931
181,English DZD AR9,1937
182,Javanese SEK AR8,1946
183,Zulu USD ID2,2006
184,Romanian BWP NC1,1955
185,French MOP IN8,1944
186,Dutch LSL DE8,1985
187,Arabic ISK LA1,1942
188,Swedish JMD VA7,2005
189,Romanian NAD LA1,1933
190,Korean AMD MA9,2016
191,Korean BWP AL7,1973
192,Portuguese MNT MS8,1935
193,Kazakh ZAR AL5,1975
194,Hindi SYP DE8,1900
195,Zulu EUR CO9,1923
196,Portuguese NOK ID3,2007
197,Italian UYU SD5,1967
198,Dutch MUR MA8,1925
199,Kazakh NAD DE3,2010
200,French DZD IN2,1963
201,Hindi SOS DE6,2007
202,Tagalog HRK AZ6,1901
203,Portuguese EUR WI1,1943
204,Dutch XAF AL9,1926
205,Telugu UAH TN10,1935
206,Russian AUD OR1,2006
207,German EUR WY9,1990
208,Russian XAF FL8,1993
209,Japanese BRL CT2,1932
210,Italian EUR LA8,1942
211,Italian KGS WY8,1941
212,French KPW WV4,1979
213,Thai TWD NY5,1915
214,Telugu QAR NY8,1986
215,Kazakh SBD LA8,1902
216,German MDL IL5,1923
217,Swedish ANG WY7,2003
218,Telugu PHP UT4,1935
219,Romanian INR FL5,1969
220,Telugu QAR MI1,2021
221,Thai CLF TN3,1927
222,Dutch EUR CA2,2015
223,Swedish USD MA9,2018
224,Hakka MAD WV9,1930
225,Telugu ZAR RI3,1912
226,German SAR NE7,1972
227,Marathi LSL WV1,1961
228,Telugu BAM ND4,1936
229,Japanese MDL WI10,1918
230,Korean EUR KY2,1919
231,Romanian IRR VA1,1913
232,German UYI TN6,1933
233,Tagalog USD NC9,1901
234,Hakka SRD FL5,1999
235,Romanian EUR MI2,1959
236,Zulu EUR VA7,2009
237,Romanian EUR UT10,1975
238,Nepali LRD TN1,1920
239,English XPF TX6,1975
240,Telugu QAR VT10,2001
241,French NIO MO5,1904
242,Thai EUR OH10,2008
243,Hakka COP OH4,1993
244,Hindi NZD OR2,2018
245,Swedish XPF NJ5,1953
246,German XCD AZ3,1927
247,Portuguese XOF MT10,1919
248,Marathi XCD ID2,1985
249,Swedish DJF MI8,1923
250,Zulu XOF MS9,1999
251,Portuguese EUR WA4,2013
252,Marathi EUR ID8,1955
253,Telugu ZAR WA8,1995
254,Portuguese SYP NE10,2004
255,English NAD OR1,1931
256,Italian PEN MI2,1960
257,Marathi HTG NV7,2008
258,Japanese BTN MD7,1932
259,Japanese FKP MD7,1933
260,Javanese ZAR VT4,2013
261,Kazakh HTG AL4,1942
262,Tagalog MXN ND4,1960
263,Zulu EUR UT4,1941
264,Hindi MDL NE1,1967
265,Italian TRY HI6,1993
266,French EUR NH5,1960
267,Russian BSD OH7,1917
268,Romanian INR MI8,1994
269,Javanese USD UT7,1903
270,Kazakh CHF NJ1,1907
271,Russian PHP ME5,1943
272,Romanian AUD UT2,1913
273,Thai GYD VT9,1983
274,Thai COP NM9,1959
275,English INR NY4,1923
276,Swedish KPW HI8,1937
277,Arabic XOF CA7,1921
278,Hakka BMD RI9,1932
279,Marathi UGX VA10,1991
280,Arabic XOF VT8,1972
281,Korean EUR ME4,1919
282,Tagalog AUD UT5,1923
283,Nepali GBP ME2,1952
284,French EUR NC6,1908
285,Kazakh ZAR NJ9,1975
286,French EUR NH2,1969
287,German XCD PA10,1945
288,Italian HUF NM1,1917
289,Italian CLP AL1,2011
290,Telugu USD GA8,2019
291,German XCD NY3,2010
292,Romanian SGD IA3,2013
293,Portuguese GHS AK1,1981
294,Marathi NZD GA8,1985
295,English USD NH6,2015
296,Portuguese TTD NY7,1915
297,Italian ETB NV9,1989
298,Korean ALL LA10,1950
299,Javanese IQD CO6,1918
300,Telugu JOD NJ3,1922
301,German XOF NH9,1910
302,Arabic SBD DE8,1922
303,Nepali USD NE4,1981
304,Javanese EUR KY4,1961
305,Thai STN MD2,1912
306,Marathi TZS WY9,1999
307,Italian AUD DE1,1966
308,Russian TND AK8,1967
309,Portuguese ZAR NY10,1957
310,French NZD MI5,1957
311,Nepali XPF OH1,1920
312,Telugu CUC IA5,1951
313,Marathi AMD OK9,1910
314,Portuguese GBP RI2,1927
315,Hindi THB PA1,1997
316,Russian KWD CT10,2014
317,Hindi USD MN5,1990
318,Russian CHF DE10,2007
319,Russian BGN DE7,1911
320,Hindi BRL LA9,1932
321,Romanian EUR VA2,1997
322,Thai AUD LA2,1950
323,Kazakh PEN MO5,1938
324,Thai USD VA2,1950
325,Italian BDT NM4,1991
326,Hakka USD IA10,1989
327,Italian PKR WV6,2014
328,German MXV GA3,1970
329,Hakka EUR CT6,1982
330,Telugu RWF MO1,1955
331,French EUR PA4,1913
332,Marathi CVE GA8,1988
333,Marathi EUR NC10,1951
334,Hindi EUR MD3,2020
335,Hindi LKR NE1,1966
336,Dutch OMR ME3,1964
337,German CHE NH3,1988
338,Russian ARS SC9,1911
339,Japanese XCD IN1,1965
340,Nepali BGN PA5,2019
341,Dutch EUR AR10,1919
342,Hindi MZN OR3,1986
343,Dutch RSD DE3,1990
344,Tagalog EUR LA6,2004
345,Swedish GEL ID9,2001
346,Marathi EUR MD3,1949
347,Nepali USD NE2,1957
348,Korean GEL IA8,2014
349,Kazakh EUR IN7,1995
350,Arabic EUR LA10,1922
351,Italian HNL ID10,1904
352,Hakka AED ME4,1965
353,French TTD WY8,1951
354,Korean BOB VA2,1969
355,English XAF VT3,2003
356,Korean KYD MN8,2004
357,Marathi TND HI8,1944
358,Javanese USD MT2,1989
359,Hakka BND VT6,2008
360,Hakka ETB MS3,1923
361,Thai AUD OK9,1969
362,Russian KZT FL10,1907
363,Arabic SYP FL1,1923
364,French LSL OK3,1948
365,Kazakh NZD ND1,1942
366,Marathi XAF FL7,2011
367,Nepali XSU GA9,1933
368,Marathi NOK NH3,1982
369,Portuguese NIO VA10,1915
370,Hakka SYP MI1,1912
371,Thai ZWL AZ9,1914
372,Javanese ANG PA7,1980
373,Italian QAR LA9,1987
374,Dutch EUR IA3,1914
375,Korean XAF KY8,1992
376,Hindi CHE MN5,2004
377,Nepali SZL NY2,1988
378,Thai CHF NV4,1919
379,Portuguese COU MA7,1927
380,Swedish USD GA4,1969
381,English MGA PA1,1917
382,Javanese KPW CA6,1999
383,Arabic EUR MT8,1927
384,Portuguese LKR RI10,1999
385,Thai SGD GA3,1939
386,Telugu BIF ME6,1991
387,Telugu MXV MT9,1904
388,Kazakh SDG TN3,1914
389,Hakka ZWL AK6,1929
390,Korean EUR MO4,1987
391,Telugu VUV VT2,1932
392,Arabic NOK NJ3,1991
393,Hakka MVR MA2,1932
394,Tagalog TTD UT3,1913
395,Dutch YER NM9,1924
396,Nepali GMD MT6,1905
397,Zulu AUD LA6,1971
398,Marathi MKD OR5,1989
399,Nepali HRK UT2,2003
400,Telugu XAF SD4,1922
401,Thai NZD MO7,2018
402,French EUR HI9,2008
403,Portuguese KPW CO7,1903
404,Romanian CDF MS10,1979
405,German IRR NC1,1973
406,Swedish NIO OK2,1971
407,Arabic EUR HI4,1939
408,Swedish AUD MN8,1951
409,French EUR OR1,2008
410,German SAR NY1,1950
411,Hakka USD MD8,1968
412,Hindi KRW IA6,1998
413,German ILS ND6,1934
414,English EUR OR1,1983
415,Russian XAF LA2,1948
416,Portuguese EUR WA9,1909
417,Swedish DKK MI9,2021
418,French INR IA4,1949
419,Hakka EUR MO4,1938
420,Italian GYD IL5,2005
421,Nepali CNY AK8,1914
422,Portuguese NAD OH7,1963
423,Hakka BTN DE1,1952
424,Tagalog USD FL9,1904
425,Javanese AWG IL10,1968
426,Portuguese EUR MO2,1973
427,Korean MNT MA2,1942
428,Italian XPF VA3,1944
429,Korean YER NC5,1914
430,Russian SCR MD4,1980
431,Japanese GEL FL2,1931
432,Telugu GTQ CO1,1975
433,Tagalog MVR FL4,1922
434,Dutch NOK NE1,1941
435,Portuguese PEN NV5,2002
436,Italian INR NJ1,1900
437,Tagalog EUR TN3,1933
438,Arabic GBP FL2,1995
439,Zulu EUR WY8,2013
440,French CHW ND4,1932
441,English PHP WI8,1916
442,Swedish CUP TX9,1945
443,Dutch BRL VT10,1982
444,Dutch XCD UT6,2015
445,Portuguese DKK MI5,2006
446,Tagalog PYG MS7,1963
447,Marathi GNF CO9,1929
448,Portuguese USD MN1,1953
449,Russian SZL WV6,1955
450,French XCD UT6,1947
451,German USD CO8,1951
452,Nepali EUR FL9,2012
453,Italian AMD MS1,1924
454,Korean USD TN7,1971
455,Telugu XPF NC5,1977
456,Portuguese ANG ND6,1928
457,Dutch MYR CA9,1925
458,Hakka EUR KY3,1923
459,Zulu DJF IN1,1937
460,Dutch AUD AL8,1992
461,Marathi EUR MO6,1977
462,Zulu AUD RI6,2020
463,Russian SBD AL1,2011
464,German VES TX4,1983
465,French EUR RI5,2011
466,Japanese XOF RI4,1974
467,Portuguese USD CO9,1954
468,Portuguese CDF NH4,1996
469,Dutch USD RI7,2016
470,Telugu BTN OR7,1940
471,Swedish CLF LA10,1986
472,Dutch DOP VT9,2017
473,Nepali BDT VT3,1900
474,Italian XOF MO8,1922
475,Dutch USD IL7,1962
476,Marathi XOF WI3,1904
477,Hindi INR AK10,1911
478,Hakka MMK IN4,2018
479,Thai CUP MT4,1954
480,Swedish MOP VA1,1978
481,Marathi CAD MT1,1950
482,Russian RUB GA5,1970
483,Hakka USD LA1,1986
484,Arabic DKK DE3,2021
485,Portuguese NZD AL7,1968
486,Javanese SCR NY2,1971
487,Korean CZK SC6,1969
488,Tagalog DKK WA10,1975
489,Hindi CHW FL3,2017
490,Arabic SRD CO1,2018
491,Italian THB MI8,1944
492,French PHP ME10,1907
493,English MWK AL9,1948
494,Hakka CLP IN5,1968
495,Tagalog SSP NJ2,1932
496,Portuguese EUR VA9,1953
497,Zulu EUR WA9,1954
498,Japanese DKK AR4,1911
499,Arabic EUR MO7,1921
500,German EUR VT5,1934
501,Kazakh AUD TX1,1999
502,Swedish XOF KS6,1922
503,Nepali XDR OH6,1977
504,French EUR IA9,1973
