ba Vegeta cyan,1,482,1
mu King Cold lime,1,490,2
ye Launch tan,1,475,3
vc Mr. Satan lime,1,223,4
rs Android 17 cyan,1,43,5
pl Nail magenta,2,343,1
ir Yajirobe plum,2,498,2
bi Cell sky blue,2,210,3
ua Gohan silver,2,88,4
ls Yamcha mint green,2,369,5
me Goten lime,3,297,1
bi Shenron gold,3,411,2
ws Pilaf black,3,492,3
py Super Saiyan 2 Goku white,3,601,4
ph Ryuu Shenlong cyan,3,174,5
kp Android 19 fuchsia,4,498,1
gb Majin Vegeta green,4,46,2
ki San Shenlong lavender,4,438,3
cy Kami yellow,4,393,4
bh Dr. Gero tan,4,240,5
to King Kai indigo,5,505,1
kn Baba orchid,5,206,2
cl Super Saiyan Blue Goku fuchsia,5,243,3
ye Super Saiyan Blue Goku salmon,5,243,4
qa Kid Trunks orange,5,315,5
sm Beerus grey,6,453,1
lv Super Saiyan 3 Goku gold,6,365,2
ec Bulma lime,6,266,3
ls Beerus blue,6,274,4
af King Cold orchid,6,347,5
fi Super Saiyan Blue Goku tan,7,533,1
ve Dende lime,7,74,2
uz Android 19 mint green,7,546,3
cv Super Saiyan 2 Vegeta red,7,277,4
es Vados plum,7,315,5
gq San Shenlong magenta,8,515,1
eg Li Shenlong mint green,8,484,2
at Tien orange,8,530,3
sy Super Saiyan Goku magenta,8,395,4
cg Krillin violet,8,426,5
rs Garlic Jr olive,9,241,1
lt Android 19 mint green,9,288,2
td Majin Vegeta orange,9,491,3
vc Super Saiyan 2 Vegeta azure,9,443,4
sm Oolong magenta,9,100,5
ly King Cold green,10,146,1
pa Chi-Chi mint green,10,307,2
rw Android 16 mint green,10,466,3
la Yamcha ivory,10,565,4
qa Super Saiyan 2 Vegeta fuchsia,10,281,5
sg Super Saiyan Goku tan,11,556,1
ie Garlic Jr fuchsia,11,359,2
sb Kami violet,11,425,3
uz Bra olive,11,109,4
bi Li Shenlong azure,11,161,5
ht Krillin teal,12,284,1
nl Super Saiyan Vegeta salmon,12,39,2
ve Super Saiyan Goten violet,12,477,3
sc Jaco orchid,12,290,4
vn Nail sky blue,12,187,5
ee Elder Kai purple,13,54,1
gy Bulma cyan,13,522,2
cd Supreme Kai cyan,13,592,3
gh King Kai red,13,481,4
bs Vados salmon,13,577,5
se Super Saiyan Vegeta black,14,213,1
il Future Trunks lavender,14,83,2
la Cooler purple,14,42,3
ls Baba yellow,14,557,4
sr Super Saiyan 2 Gohan orange,14,136,5
fr Goten olive,15,366,1
ws Chaozu mint green,15,167,2
tr Mr. Popo orange,15,201,3
kw King Vegeta pink,15,312,4
mu Oolong pink,15,548,5
lc Captain Ginyu azure,16,227,1
km King Vegeta pink,16,508,2
ht Bardock maroon,16,285,3
kh Yamcha plum,16,124,4
er Supreme Kai lavender,16,413,5
ua Whis fuchsia,17,333,1
vn King Cold white,17,51,2
cr Broly azure,17,536,3
cn Super Saiyan Gohan olive,17,370,4
kw Vegeta white,17,259,5
li Uh Shenlong gold,18,104,1
hr Gohan purple,18,164,2
iq Super Saiyan Gohan silver,18,51,3
gh Hit olive,18,125,4
az Majin Vegeta cyan,18,106,5
bz Gogeta azure,19,161,1
af Launch turquoise,19,575,2
sz Jaco white,19,236,3
cn King Cold black,19,116,4
na Android 16 grey,19,449,5
ie Cell turquoise,20,485,1
ke Videl azure,20,20,2
bg Su Shenlong lavender,20,549,3
be Oolong maroon,20,220,4
rw Android 18 plum,20,360,5
ar Nail magenta,21,217,1
vn Vegeta olive,21,118,2
kr Future Trunks salmon,21,217,3
mz Su Shenlong turquoise,21,598,4
jp Bardock red,21,471,5
uy Dr. Gero azure,22,566,1
am Dende violet,22,425,2
lb Mr. Satan silver,22,543,3
mr Chaozu orchid,22,585,4
gr Super Saiyan Blue Vegeta white,22,164,5
hn Super Saiyan Goten red,23,46,1
zm Yajirobe plum,23,215,2
tl San Shenlong azure,23,187,3
sn Cooler purple,23,527,4
co Demon King Piccolo orange,23,385,5
bw Android 17 olive,24,416,1
fr Piccolo plum,24,572,2
ca Super Saiyan Gohan magenta,24,37,3
af Hit yellow,24,456,4
et Shenlong violet,24,503,5
ss Kid Trunks lavender,25,50,1
dz Su Shenlong purple,25,455,2
zw Elder Kai violet,25,566,3
sd Freeza violet,25,360,4
gy Videl yellow,25,305,5
sg Bulma maroon,26,21,1
tt Tien orange,26,276,2
nl Super Saiyan Blue Goku tan,26,401,3
ec Super Saiyan 3 Goku cyan,26,271,4
ma Mystic Gohan salmon,26,603,5
af King Kai plum,27,141,1
gt Super Saiyan Gohan ivory,27,225,2
bn Piccolo lavender,27,526,3
bi Grandpa Gohan cyan,27,247,4
er Captain Ginyu cyan,27,488,5
fj Dende yellow,28,403,1
bt Dr. Gero white,28,389,2
sz Super Saiyan Goten lime,28,382,3
ec Super Saiyan Gohan salmon,28,462,4
gy Yamcha indigo,28,219,5
be Elder Kai grey,29,416,1
ci Pan grey,29,307,2
mk Chi-Chi yellow,29,587,3
tg Super Saiyan Gohan tan,29,211,4
ng Shenlong black,29,579,5
py Vegito orange,30,339,1
cf Gogeta blue,30,138,2
lk Dr. Gero fuchsia,30,34,3
sn Supreme Kai orchid,30,406,4
li Cell green,30,583,5
sy Bardock pink,31,569,1
ro Android 17 blue,31,578,2
bs Baba olive,31,194,3
jm Puar teal,31,367,4
ee Kami violet,31,516,5
ru Android 16 mint green,32,84,1
br Videl green,32,522,2
za Kid Trunks orange,32,384,3
br Whis sky blue,32,557,4
sz Chi Shenlong salmon,32,426,5
sl Majin Buu green,33,180,1
pt Broly yellow,33,154,2
bt Garlic Jr olive,33,409,3
ec Super Saiyan 2 Vegeta blue,33,441,4
pa Zarbon tan,33,239,5
dj Dende red,34,304,1
sb Pan yellow,34,501,2
my Goten lavender,34,450,3
td Puar sky blue,34,551,4
ca Jaco purple,34,268,5
in San Shenlong sky blue,35,151,1
gt Super Saiyan Blue Goku white,35,587,2
kz Shenron turquoise,35,467,3
me Android 19 yellow,35,78,4
gd Android 20 gold,35,577,5
et Dende grey,36,198,1
sy Super Saiyan Vegeta lavender,36,280,2
tz Goten black,36,81,3
bb Gohan mint green,36,449,4
bg Shenron tan,36,501,5
ni Supreme Kai white,37,326,1
al Goten black,37,211,2
bn Pan teal,37,468,3
ws Cell turquoise,37,345,4
uy Baba black,37,600,5
mh Launch cyan,38,439,1
mt Guru azure,38,48,2
ge Li Shenlong blue,38,598,3
ws Supreme Kai magenta,38,81,4
ao Krillin green,38,505,5
ec Elder Kai magenta,39,489,1
pa Elder Kai orchid,39,20,2
sg Super Saiyan 2 Goku olive,39,594,3
pe Ryan Shenlong tan,39,157,4
ge Grandpa Gohan maroon,39,275,5
sm Su Shenlong sky blue,40,533,1
bg Shenron violet,40,464,2
cy Jaco red,40,316,3
ci Super Saiyan Goku violet,40,198,4
mn Zamasu gold,40,134,5
in Majin Vegeta mint green,41,282,1
tm Bulma black,41,412,2
ug Piccolo green,41,376,3
ge Android 19 sky blue,41,275,4
lr Chi-Chi green,41,408,5
it Li Shenlong magenta,42,274,1
me Goten turquoise,42,12,2
bz Android 19 red,42,484,3
id Super Saiyan 2 Goku ivory,42,511,4
gm Baby indigo,42,135,5
cz Ryan Shenlong pink,43,464,1
cz Videl lavender,43,142,2
cy Super Saiyan 3 Goku black,43,89,3
sr Piccolo grey,43,293,4
sr Super Saiyan Goten fuchsia,43,324,5
th Grandpa Gohan maroon,44,367,1
bt Raditz mint green,44,105,2
kw King Vegeta violet,44,220,3
ss Captain Ginyu mint green,44,574,4
bi Puar orchid,44,562,5
so Super Saiyan Goku maroon,45,12,1
cu Super Saiyan Blue Vegeta green,45,525,2
sk Mr. Popo violet,45,563,3
ro Li Shenlong lime,45,11,4
ro King Vegeta red,45,299,5
bw Baby olive,46,209,1
ar Super Saiyan Goku fuchsia,46,32,2
cz Bra lime,46,207,3
mt Uh Shenlong ivory,46,157,4
my Guru magenta,46,439,5
bg Baby plum,47,446,1
fr Uub green,47,515,2
bn Zamasu violet,47,265,3
pl Bardock yellow,47,530,4
af Raditz yellow,47,356,5
fi Vegeta olive,48,432,1
tr Freeza yellow,48,481,2
ca Goku ivory,48,139,3
sz Champa silver,48,238,4
ng San Shenlong plum,48,280,5
tg Super Saiyan 2 Goku lavender,49,563,1
ma Mystic Gohan pink,49,503,2
bt Garlic Jr salmon,49,564,3
jm Whis tan,49,488,4
ci Caulifla plum,49,265,5
at Nail orchid,50,223,1
sk Gogeta white,50,69,2
mv Chaozu indigo,50,209,3
pw Pan orchid,50,432,4
sy Launch black,50,536,5
tv Super Saiyan 2 Goku ivory,51,42,1
ph Guru gold,51,252,2
kg Gohan maroon,51,77,3
st King Vegeta gold,51,175,4
zw Nail blue,51,567,5
kz Krillin blue,52,106,1
tn King Kai pink,52,371,2
cg Goten white,52,99,3
tn King Vegeta yellow,52,556,4
sg Nail green,52,277,5
bj Bulma ivory,53,74,1
mg Guru mint green,53,382,2
tn Puar indigo,53,354,3
pg Gogeta teal,53,151,4
eg Champa purple,53,417,5
dz Ryan Shenlong ivory,54,321,1
jo Grandpa Gohan salmon,54,256,2
jo Goten tan,54,493,3
bh Videl tan,54,548,4
td Elder Kai magenta,54,148,5
cd Gogeta sky blue,55,53,1
so Li Shenlong olive,55,559,2
kg Future Trunks plum,55,464,3
cf Ryan Shenlong cyan,55,167,4
kr King Kai green,55,168,5
mr Mr. Satan pink,56,79,1
na Chi Shenlong mint green,56,299,2
at Hit mint green,56,591,3
fi Supreme Kai red,56,516,4
ma Goku gold,56,467,5
fi Raditz lime,57,498,1
my Su Shenlong azure,57,528,2
ls Future Trunks orchid,57,103,3
zm Super Saiyan 3 Goku mint green,57,41,4
my Super Saiyan Goku black,57,210,5
bf Super Saiyan 2 Vegeta ivory,58,339,1
vc Shenron salmon,58,113,2
fj Bulma red,58,574,3
id Bra gold,58,15,4
bj Super Saiyan Goten teal,58,221,5
sl Bulma silver,59,114,1
cf Mr. Popo azure,59,74,2
ph Dende orchid,59,131,3
do Shenron grey,59,164,4
bf Super Saiyan Blue Goku magenta,59,484,5
ua Zamasu orchid,60,428,1
bb Chi Shenlong white,60,126,2
co Shenlong maroon,60,591,3
af Super Saiyan Blue Vegeta lavender,60,216,4
tz Android 17 fuchsia,60,574,5
